SKU CODE,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb
 99-5506,,,,,,,1
 02-2202,,,,,,,
 08-7505,1,,1,,,,
 80-6230,,,,,,,
 80-6350,,,,,,,
 80-6370,,,,,,,
 99-5522,,,,,,,
 99-5350,,,,,,,
 98-5108,,,,,,,
 01-4401,,,,,,,
 99-5180,,,,,,,
 40-6140,,,,,,,
 80-6330,,,,,,,
 02-6402,,,,,,,
 40-1732,,2,,,,,
 36-0004,,1,1,1,,,
 99-5544-31,,,,,,,
 43-4200,,,,,,,
 43-5520,,,,,,,
 43-5878,,,,,,,
 43-6100,,,,,,,
 43-6150,,,,1,,,
 43-6210,,,,,,,
 43-8754,,,,,,,
 43-6220,,,,,,,
 43-4250,,,,,,,
 99-5600,,,,,,,
 43-4150,,,,,,,
 43-5475,,,,,,,
 43-6420,,,,,,,
 43-6410,,,,,,,
 43-6310,,,,,,,
 43-6320,,,,,,,
 99-5527,,,,1,,,
 99-5534,,,,,,,
 99-5533,,,,,,,
 99-5532,,,,,,,
 40-4850,,,,,,,
 40-4875,,,,,,,
 43-5476,,,,,,,
 99-5541,,,,,,,
 10-9010,,,,,,,
 99-1200,,,,,,,
 99-5541-1,,,,,,,
 09-0012,,,,,,,
 09-0024,,,,,,,
 09-0045,,,,,,,
 09-1300-12,,,,,,,
 09-1300-14,,,,,,,
 09-9900-105-1,,,,,,,
 36-0052-10,,1,,,,,
 98-5395,,,,,,,
 99-5395,,,,,,,
 99-5526,,,,,,,
 99-5548,,,,,,,
 99-5549,,,,,,,
 99-5546,,,,,,,
 99-5544-2,,,,,,,
 99-5544,,,,,,,
 99-5543,,,,,,,
 99-5541-2,,,,,,,
 99-5530,,,,,,,
 36-0051-10,,,,,,,
 09-9900-208-1,,,,,,,
 09-1300,,,,,,,
 09-0023,,,,,,,
 09-0017,,,,,,,
 09-9900-151,,,,,,,
 09-9900-351,,,,,,,
 99-5535,,,,,,,
 99-5544-3,,,,,,,
 99-5606-1,,,,,,,
 09-1400,,,,,,,
 98-5355,,,,,,,
 09-1300-16,,,,,,,
 09-9900-155,,,,,,,
 09-0020,,,,,,,
 09-9900-355,,,,,,,
 09-9900-205-1,,,,,,,
 99-5540,,,,,,,
 05-9250,,,,,,,
 05-9255,,,,,,,
 40-3340,,,,,,,
 98-5356,,,,,,,
 10-6635,,,,,,,
 10-6636,,,,,,,
 10-9080-10,,1,,,,3,
 35-0035-14,,,,,,,
 35-0035,,,,,,,
 16-3610,,,,,,,
 16-3611,,,,,,,
 16-0250-01,,,,,,,
 99-0000,2,5,2,,,4,1
 BALDUE,2,1,,,,,
 99-5555,,,,,,,
 16-2400,,1,2,,,,
 36-0002,,,,,,,
 99-999,,,,,,,
 99-5559,,,,,,,
 99-5551,,,,,,,
 99-5550,,,,,,,
 98-5252,,,,,,,
 40-8940,,,,,,,
 98-5251,,,,,,,
 99-5606,,,,,,,
 99-9999,1,3,2,1,,,2
 99-7003,,,,,,,
 99-7029,,,,,,,
 99-5610,,,,,,,
 99-5558,,,,,,,
 99-5553,,,,,,,
 99-5419,,,,,,,
 36-0035,6,,,,,,
 01-6000,,,,,,,
 51-6000,,,,,,,
 35-0021-02,12,12,32,8,16,8,16
 36-5000,1,1,1,1,,,
 99-7057,,,,,,,
 37-0020,,,,,,,
 01-2500,,,,,,,
 10-6655,1,,,1,,,
 16-3626,,,,,,,
 16-DS18-525X,,,,,,,
 16-DS18-69XI,,,,,,,
 16-DS18-SDX1,,,,,,,
 20-7420-01,,,,,,,
 20-7420-02,,,,,,,
 20-7420-03,,,,,,,
 20-7420-04,,,,,,,
 20-7420-05,,,,,,,
 20-7420-06,,,,,,,
 36-0040-05,1,2,2,2,,,
 37-0026,,,,,,,
 99-5421,,,,,,,
 16-3701,,1,2,,,,
 16-3702,,1,2,,,,
 16-3703,,12,24,,,,
 16-3704,,5,10,,,,
 16-3705,,1,2,,,,
 16-3706,,6,12,,,,
 16-3707,,1,2,,,,
 16-3708,,1,2,,,,
 16-3709,,1,2,,,,
 16-3710,,1,2,,,,
 16-3711,,1,2,,,,
 42-0030,,,,,,,
 42-0040,,,,,,,
 42-0050,,,,,,,
 42-0060,,,,,,,
 42-0020,,,,,,,
 16-3712,,2,3,,,,
 45-0100,,,,,,,
 45-0200,,,,,,,
 45-0250,,,,,,,
 42-0010,,,,,,,
 16-3713,,6,12,,,,
 16-3714,,,,,,,
 16-MRCP9685A,,1,2,,,,
 35-0072,1,,,,1,,1
 09-0026,,,,,,,
 09-2614,,,,,,,
 36-0102,1,,,,,,
 35-0068,,,,,,,
 10-6656,1,,,1,1,,
 08-7551,,,,,,1,
 99-5519-05,,,,,,,
 10-9553,1,,,1,1,,
 42-0075,,,,,,,
 10-2599-08,1,,,,,,1
 22-0100,,,,,,,
 16-3627,,2,2,,,,
 36-0033,,,,,,,
 36-0101,,,,,,,
 37-0025,1,,,,,,
 37-0025-10,,,,,,,
 99-5441,,2,,,,,
 99-5469,,,,,,,
 99-7047,,,,,,,
 99-7048,,,,,,,
 99-7049,,4,4,,,,
 35-0068-01,,,,,,,
 10-9070,,1,,,,,
 01-2525,,,,,,,
 99-5165,1,,,,,,1
 98-5165,,,,,,,
 10-9072,,1,,,,,
